player_name,total_runs,balls_faced,dismissals,strike_rate,total_wickets,runs_conceded,balls_bowled,overs_bowled,economy_rate,player_ID
A Ashish Reddy,280.0,196.0,15.0,142.85714285714286,19.0,400.0,270.0,45.0,8.88888888888889,Player_001
A Badoni,161.0,139.0,9.0,115.8273381294964,2.0,12.0,12.0,2.0,6.0,Player_002
A Chandila,4.0,7.0,1.0,57.14285714285714,11.0,245.0,234.0,39.0,6.282051282051282,Player_003
A Chopra,53.0,75.0,5.0,70.66666666666667,0.0,0.0,0.0,0.0,0.0,Player_004
A Choudhary,25.0,20.0,2.0,125.0,5.0,144.0,108.0,18.0,8.0,Player_005
A Dananjaya,4.0,5.0,0.0,80.0,0.0,47.0,25.0,4.166666666666667,11.28,Player_006
A Flintoff,62.0,57.0,2.0,108.7719298245614,2.0,106.0,66.0,11.0,9.636363636363637,Player_007
A Kumble,35.0,49.0,2.0,71.42857142857143,49.0,1089.0,983.0,163.83333333333334,6.646998982706002,Player_008
A Manohar,108.0,79.0,6.0,136.70886075949366,0.0,0.0,0.0,0.0,0.0,Player_009
A Mishra,362.0,410.0,30.0,88.29268292682927,175.0,4022.0,3317.0,552.8333333333334,7.275248718721736,Player_010
A Mithun,34.0,26.0,5.0,130.76923076923077,8.0,477.0,312.0,52.0,9.173076923076923,Player_011
A Mukund,19.0,23.0,2.0,82.6086956521739,0.0,0.0,0.0,0.0,0.0,Player_012
A Nehra,41.0,63.0,8.0,65.07936507936508,121.0,2537.0,1974.0,329.0,7.711246200607903,Player_013
A Nel,0.0,0.0,0.0,0.0,1.0,31.0,18.0,3.0,10.333333333333334,Player_014
A Nortje,8.0,13.0,1.0,61.53846153846154,44.0,946.0,706.0,117.66666666666669,8.039660056657224,Player_015
A Singh,2.0,10.0,4.0,20.0,31.0,639.0,486.0,81.0,7.888888888888889,Player_016
A Symonds,974.0,781.0,26.0,124.71190781049935,23.0,694.0,540.0,90.0,7.711111111111111,Player_017
A Tomar,4.0,8.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,Player_018
A Uniyal,4.0,7.0,1.0,57.14285714285714,3.0,67.0,38.0,6.333333333333333,10.578947368421051,Player_019
A Zampa,5.0,8.0,2.0,62.5,21.0,373.0,292.0,48.66666666666666,7.664383561643836,Player_020
AA Bilakhia,69.0,88.0,5.0,78.4090909090909,0.0,0.0,0.0,0.0,0.0,Player_021
AA Chavan,12.0,11.0,1.0,109.09090909090908,8.0,339.0,255.0,42.5,7.976470588235294,Player_022
AA Jhunjhunwala,217.0,218.0,14.0,99.54128440366972,1.0,130.0,88.0,14.666666666666666,8.863636363636363,Player_023
AA Kazi,0.0,0.0,0.0,0.0,1.0,21.0,13.0,2.1666666666666665,9.692307692307692,Player_024
AA Noffke,9.0,12.0,1.0,75.0,1.0,41.0,25.0,4.166666666666667,9.84,Player_025
AB Agarkar,179.0,160.0,8.0,111.875,33.0,1174.0,820.0,136.66666666666666,8.590243902439026,Player_026
AB Barath,42.0,43.0,2.0,97.67441860465117,0.0,0.0,0.0,0.0,0.0,Player_027
AB Dinda,26.0,50.0,9.0,52.0,82.0,2103.0,1589.0,264.8333333333333,7.940843297671492,Player_028
AB McDonald,123.0,103.0,5.0,119.41747572815532,14.0,263.0,188.0,31.33333333333333,8.393617021276595,Player_029
AB de Villiers,5181.0,3487.0,125.0,148.58044164037855,0.0,0.0,0.0,0.0,0.0,Player_030
AC Blizzard,120.0,91.0,7.0,131.86813186813183,0.0,0.0,0.0,0.0,0.0,Player_031
AC Gilchrist,2069.0,1555.0,76.0,133.05466237942122,1.0,0.0,1.0,0.1666666666666666,0.0,Player_032
AC Thomas,20.0,19.0,2.0,105.26315789473684,16.0,416.0,327.0,54.5,7.63302752293578,Player_033
AC Voges,181.0,143.0,6.0,126.5734265734266,1.0,76.0,56.0,9.333333333333334,8.142857142857142,Player_034
AD Hales,148.0,119.0,6.0,124.36974789915966,0.0,0.0,0.0,0.0,0.0,Player_035
AD Mascarenhas,79.0,79.0,10.0,100.0,19.0,365.0,310.0,51.66666666666666,7.064516129032258,Player_036
AD Mathews,724.0,599.0,31.0,120.86811352253756,28.0,1095.0,807.0,134.5,8.141263940520446,Player_037
AD Nath,90.0,99.0,10.0,90.9090909090909,0.0,0.0,0.0,0.0,0.0,Player_038
AD Russell,2039.0,1212.0,66.0,168.23432343234325,99.0,2214.0,1484.0,247.33333333333331,8.951482479784366,Player_039
AF Milne,23.0,31.0,5.0,74.19354838709677,9.0,339.0,217.0,36.16666666666666,9.373271889400922,Player_040
AG Murtaza,10.0,14.0,1.0,71.42857142857143,12.0,322.0,269.0,44.833333333333336,7.182156133828996,Player_041
AG Paunikar,49.0,61.0,5.0,80.32786885245902,0.0,0.0,0.0,0.0,0.0,Player_042
AJ Finch,2092.0,1696.0,84.0,123.34905660377358,1.0,67.0,44.0,7.333333333333333,9.136363636363637,Player_043
AJ Turner,3.0,11.0,3.0,27.27272727272727,0.0,0.0,0.0,0.0,0.0,Player_044
AJ Tye,91.0,79.0,8.0,115.18987341772151,48.0,1005.0,714.0,119.0,8.445378151260504,Player_045
AK Markram,527.0,400.0,13.0,131.75,1.0,87.0,61.0,10.166666666666666,8.557377049180328,Player_046
AL Menaria,401.0,367.0,22.0,109.26430517711172,3.0,144.0,113.0,18.83333333333333,7.646017699115045,Player_047
AM Nayar,672.0,588.0,39.0,114.28571428571428,9.0,323.0,239.0,39.833333333333336,8.10878661087866,Player_048
AM Rahane,4074.0,3465.0,133.0,117.57575757575758,1.0,5.0,6.0,1.0,5.0,Player_049
AM Salvi,0.0,0.0,0.0,0.0,7.0,205.0,156.0,26.0,7.884615384615385,Player_050
AN Ahmed,36.0,27.0,1.0,133.33333333333331,15.0,515.0,362.0,60.333333333333336,8.535911602209945,Player_051
AN Ghosh,7.0,8.0,2.0,87.5,0.0,0.0,0.0,0.0,0.0,Player_052
AP Dole,34.0,23.0,2.0,147.82608695652172,5.0,114.0,73.0,12.166666666666666,9.36986301369863,Player_053
AP Majumdar,87.0,77.0,4.0,112.987012987013,0.0,0.0,0.0,0.0,0.0,Player_054
AP Tare,339.0,285.0,24.0,118.94736842105264,0.0,0.0,0.0,0.0,0.0,Player_055
AR Bawne,12.0,12.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Player_056
AR Patel,1135.0,919.0,59.0,123.5038084874864,109.0,3140.0,2599.0,433.1666666666667,7.24894190073105,Player_057
AS Joseph,20.0,20.0,1.0,100.0,14.0,358.0,240.0,40.0,8.95,Player_058
AS Rajpoot,26.0,41.0,4.0,63.41463414634146,24.0,844.0,567.0,94.5,8.931216931216932,Player_059
AS Raut,194.0,172.0,11.0,112.7906976744186,0.0,45.0,30.0,5.0,9.0,Player_060
AS Roy,0.0,2.0,1.0,0.0,2.0,66.0,57.0,9.5,6.947368421052632,Player_061
AS Yadav,49.0,40.0,7.0,122.5,0.0,0.0,0.0,0.0,0.0,Player_062
AT Carey,32.0,29.0,2.0,110.34482758620688,0.0,0.0,0.0,0.0,0.0,Player_063
AT Rayudu,4190.0,3375.0,142.0,124.14814814814814,0.0,0.0,0.0,0.0,0.0,Player_064
AU Rashid,0.0,0.0,0.0,0.0,0.0,35.0,18.0,3.0,11.666666666666666,Player_065
AUK Pathan,39.0,26.0,5.0,150.0,0.0,63.0,41.0,6.833333333333333,9.219512195121952,Player_066
Abdul Samad,228.0,164.0,17.0,139.02439024390242,2.0,113.0,55.0,9.166666666666666,12.327272727272728,Player_067
Abdur Razzak,0.0,2.0,0.0,0.0,0.0,29.0,14.0,2.333333333333333,12.428571428571429,Player_068
Abhishek Sharma,667.0,511.0,29.0,130.52837573385517,7.0,218.0,161.0,26.83333333333333,8.124223602484472,Player_069
Akash Deep,0.0,2.0,1.0,0.0,6.0,206.0,119.0,19.83333333333333,10.38655462184874,Player_070
Akash Singh,0.0,0.0,0.0,0.0,0.0,39.0,24.0,4.0,9.75,Player_071
Aman Hakim Khan,5.0,3.0,1.0,166.66666666666669,0.0,13.0,6.0,1.0,13.0,Player_072
Anand Rajan,0.0,0.0,0.0,0.0,10.0,206.0,162.0,27.0,7.62962962962963,Player_073
Anirudh Singh,63.0,69.0,4.0,91.30434782608695,0.0,0.0,0.0,0.0,0.0,Player_074
Ankit Sharma,87.0,69.0,7.0,126.08695652173914,12.0,453.0,375.0,62.5,7.248,Player_075
Ankit Soni,7.0,9.0,2.0,77.77777777777779,4.0,145.0,112.0,18.666666666666668,7.767857142857142,Player_076
Anmolpreet Singh,29.0,27.0,3.0,107.40740740740742,0.0,0.0,0.0,0.0,0.0,Player_077
Anuj Rawat,129.0,124.0,8.0,104.03225806451611,0.0,0.0,0.0,0.0,0.0,Player_078
Anureet Singh,36.0,47.0,4.0,76.59574468085107,21.0,636.0,430.0,71.66666666666667,8.874418604651162,Player_079
Arshdeep Singh,23.0,36.0,4.0,63.888888888888886,46.0,1086.0,803.0,133.83333333333334,8.114570361145702,Player_080
Avesh Khan,31.0,19.0,1.0,163.1578947368421,51.0,1190.0,868.0,144.66666666666666,8.225806451612904,Player_081
Azhar Mahmood,388.0,311.0,19.0,124.7588424437299,31.0,707.0,552.0,92.0,7.684782608695652,Player_082
B Akhil,76.0,57.0,7.0,133.33333333333331,7.0,246.0,193.0,32.166666666666664,7.647668393782384,Player_083
B Chipli,280.0,256.0,16.0,109.375,0.0,20.0,6.0,1.0,20.0,Player_084
B Geeves,0.0,0.0,0.0,0.0,2.0,91.0,49.0,8.166666666666666,11.142857142857144,Player_085
B Indrajith,21.0,31.0,3.0,67.74193548387096,0.0,0.0,0.0,0.0,0.0,Player_086
B Kumar,241.0,259.0,28.0,93.05019305019306,165.0,4064.0,3384.0,564.0,7.205673758865248,Player_087
B Laughlin,5.0,13.0,2.0,38.46153846153847,10.0,284.0,179.0,29.83333333333333,9.5195530726257,Player_088
B Lee,124.0,102.0,10.0,121.5686274509804,30.0,1126.0,916.0,152.66666666666666,7.375545851528384,Player_089
B Sai Sudharsan,145.0,118.0,4.0,122.8813559322034,0.0,0.0,0.0,0.0,0.0,Player_090
B Stanlake,5.0,2.0,0.0,250.0,7.0,200.0,150.0,25.0,8.0,Player_091
B Sumanth,35.0,38.0,1.0,92.10526315789474,0.0,0.0,0.0,0.0,0.0,Player_092
BA Bhatt,6.0,7.0,0.0,85.71428571428571,13.0,408.0,303.0,50.5,8.07920792079208,Player_093
BA Stokes,920.0,703.0,39.0,130.86770981507823,31.0,1005.0,717.0,119.5,8.410041841004183,Player_094
BAW Mendis,3.0,6.0,2.0,50.0,9.0,306.0,248.0,41.333333333333336,7.403225806451612,Player_095
BB McCullum,2882.0,2272.0,106.0,126.84859154929578,0.0,0.0,0.0,0.0,0.0,Player_096
BB Samantray,125.0,116.0,5.0,107.7586206896552,0.0,0.0,0.0,0.0,0.0,Player_097
BB Sran,10.0,14.0,1.0,71.42857142857143,20.0,767.0,516.0,86.0,8.918604651162791,Player_098
BCJ Cutting,238.0,146.0,11.0,163.013698630137,12.0,430.0,288.0,48.0,8.958333333333334,Player_099
