player_name,total_runs,balls_faced,dismissals,strike_rate,total_wickets,runs_conceded,balls_bowled,overs_bowled,economy_rate,player_ID,runs_per_dismissal,balls_per_run,cluster_id,improvement_plan
A Ashish Reddy,280.0,196.0,15.0,142.85714285714286,19.0,400.0,270.0,45.0,8.88888888888889,Player_001,18.666666666666668,0.7,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
A Badoni,161.0,139.0,9.0,115.8273381294964,2.0,12.0,12.0,2.0,6.0,Player_002,17.88888888888889,0.8633540372670807,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
A Chandila,4.0,7.0,1.0,57.14285714285714,11.0,245.0,234.0,39.0,6.282051282051282,Player_003,4.0,1.75,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
A Chopra,53.0,75.0,5.0,70.66666666666667,0.0,0.0,0.0,0.0,0.0,Player_004,10.6,1.4150943396226414,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
A Choudhary,25.0,20.0,2.0,125.0,5.0,144.0,108.0,18.0,8.0,Player_005,12.5,0.8,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
A Dananjaya,4.0,5.0,0.0,80.0,0.0,47.0,25.0,4.166666666666667,11.28,Player_006,4.0,1.25,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
A Flintoff,62.0,57.0,2.0,108.7719298245614,2.0,106.0,66.0,11.0,9.636363636363637,Player_007,31.0,0.9193548387096774,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
A Kumble,35.0,49.0,2.0,71.42857142857143,49.0,1089.0,983.0,163.83333333333334,6.646998982706002,Player_008,17.5,1.4,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
A Manohar,108.0,79.0,6.0,136.70886075949366,0.0,0.0,0.0,0.0,0.0,Player_009,18.0,0.7314814814814815,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
A Mishra,362.0,410.0,30.0,88.29268292682927,175.0,4022.0,3317.0,552.8333333333334,7.275248718721736,Player_010,12.066666666666666,1.132596685082873,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
A Mithun,34.0,26.0,5.0,130.76923076923077,8.0,477.0,312.0,52.0,9.173076923076923,Player_011,6.8,0.7647058823529411,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
A Mukund,19.0,23.0,2.0,82.6086956521739,0.0,0.0,0.0,0.0,0.0,Player_012,9.5,1.2105263157894737,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
A Nehra,41.0,63.0,8.0,65.07936507936508,121.0,2537.0,1974.0,329.0,7.711246200607903,Player_013,5.125,1.5365853658536586,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
A Nel,0.0,0.0,0.0,0.0,1.0,31.0,18.0,3.0,10.333333333333334,Player_014,0.0,0.0,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
A Nortje,8.0,13.0,1.0,61.53846153846154,44.0,946.0,706.0,117.66666666666669,8.039660056657224,Player_015,8.0,1.625,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
A Singh,2.0,10.0,4.0,20.0,31.0,639.0,486.0,81.0,7.888888888888889,Player_016,0.5,5.0,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
A Symonds,974.0,781.0,26.0,124.71190781049935,23.0,694.0,540.0,90.0,7.711111111111111,Player_017,37.46153846153846,0.8018480492813141,2,Solid mid-level performance. Target improving strike rate and converting starts into big scores.
